,Sticky_Price_CPI,Sticky_Price_CPI_less_Shelter,Sticky_Price_CPI_less_food_energy,Sticky_Price_CPI_less_food_energy_shelter,Trimmed_Mean_PCE_Inflation_Rate,16_Percent_Trimmed_Mean_CPI,Median_CPI,Flexible_Price_CPI,Flexible_Price_CPI_less_food_energy,mean
151,4,4,4,5,4,5,5,4,3,4
152,4,4,4,5,4,5,4,4,2,4
153,4,5,4,5,4,5,4,4,2,4
154,4,4,4,4,4,5,4,5,2,4
155,4,5,4,5,4,5,4,5,3,4
156,4,5,4,5,4,5,4,5,2,4
157,4,5,4,4,4,4,4,5,2,4
158,4,4,4,4,4,4,4,5,3,4
159,4,4,4,4,4,4,4,3,2,4
160,4,4,4,4,4,4,4,2,3,4
161,4,4,4,4,3,3,4,2,3,3
162,4,4,4,4,3,3,4,2,2,3
163,3,4,4,4,3,3,3,2,2,3
164,3,3,3,3,3,3,3,2,2,3
165,3,3,3,3,3,3,3,2,2,3
166,3,3,3,3,2,2,3,2,2,3
167,3,2,3,2,2,2,2,1,1,2
168,3,2,3,2,1,2,3,1,2,2
169,3,3,3,3,0,2,2,1,1,2
170,3,3,3,3,0,1,3,0,1,2
171,3,2,3,3,0,2,2,0,1,2
172,3,2,3,3,0,2,2,1,1,2
173,3,2,3,2,1,2,2,1,1,2
174,3,2,3,2,0,2,3,1,2,2
175,3,2,3,2,1,2,3,1,3,2
176,3,2,3,2,1,2,3,1,4,2
177,3,2,3,2,1,2,4,1,4,2
178,3,1,3,1,1,1,4,1,4,2
179,2,1,3,2,1,1,4,1,4,2
180,2,1,2,1,2,1,3,1,5,2
181,2,1,2,1,2,1,3,1,5,2
182,2,1,2,1,2,1,3,1,4,2
183,1,1,2,1,1,0,2,2,4,2
184,1,1,1,1,1,1,2,4,5,2
185,1,1,1,1,1,1,2,3,5,2
186,1,0,1,0,1,0,1,3,5,1
187,1,1,1,1,1,0,1,4,5,2
188,1,1,1,1,1,0,1,4,4,2
189,1,1,1,1,2,1,0,5,5,2
190,1,1,1,1,2,1,0,5,5,2
191,1,1,1,1,2,1,0,5,5,2
192,1,2,1,2,2,1,0,5,3,2
193,2,2,2,2,2,2,1,5,3,2
194,2,2,2,2,3,2,1,6,4,3
195,2,2,3,3,3,3,2,7,5,3
196,2,2,2,2,3,3,2,6,5,3
197,3,3,3,3,3,3,2,6,5,3
198,3,3,3,4,4,4,3,6,5,4
199,3,3,3,3,4,4,3,6,4,4
