Date,Sticky_Price_CPI,Sticky_Price_CPI_Less_Shelter,Sticky_Price_CPI_Less_Food_Energy,Sticky_Price_CPI_Less_Food_Energy_Shelter,Trimmed_Mean_PCE_Inflation_Rate,16_Percent_Trimmed_Mean_CPI,Median_CPI,Flexible_Price_CPI,Flexible_Price_CPI_Less_Food_Energy
1975-02-01,11.767240687,11.798276496,11.816414421,11.891008291,,,,10.548924536,10.885838912
1975-03-01,11.555633757,11.64571217,11.603717425,11.751327029,,,,9.082139599,10.956665908
1975-04-01,11.534669446,11.509909256,11.729239119,11.838127908,,,,8.598759301,9.876663535
1975-05-01,10.772947213,10.621621287,10.951529411,10.889887158,,,,7.641620007,8.573801135
1975-06-01,10.256055889,9.866732009,10.45505733,10.109869795,,,,8.103165547,7.276913207
1975-07-01,9.573944458,9.251093733,9.787927045,9.536809901,,,,9.651932404,6.780524936
1975-08-01,8.771470769,8.563657479,8.938380195,8.797766646,,,,8.231609575,5.30121616
1975-09-01,8.413766583,8.447660605,8.554354053,8.697554552,,,,7.411731179,4.798264967
1975-10-01,8.026763072,8.140477893,8.142102792,8.367279615,,,,7.200221762,4.127270101
1975-11-01,8.012518206,8.022894015,8.13591166,8.237270134,,,,6.691977522,3.567069228
1975-12-01,7.591388486,7.787246174,7.727553082,8.070585732,,,,6.471617571,3.832190085
1976-01-01,7.513965508,7.942489072,7.741363545,8.440598145,,,,5.910561463,3.816864768
1976-02-01,7.177311981,7.805686975,7.425762409,8.389230437,,,,5.254877437,4.040194005
1976-03-01,7.148879578,7.892531834,7.388426262,8.488142294,,,,4.891001389,4.148469271
1976-04-01,6.733211054,7.614904975,6.899629973,8.117968547,,,,5.077048942,4.893856736
1976-05-01,6.858077101,7.697756649,7.018298581,8.1790592,,,,5.252698335,5.610254235
1976-06-01,6.795167515,7.746020822,6.922850698,8.198795575,,,,4.603760254,5.780233369
1976-07-01,7.01644946,7.870726691,7.140992224,8.293831449,,,,3.319675187,5.655557423
1976-08-01,7.20710076,7.940597959,7.405380061,8.460619753,,,,3.654108188,5.907072552
1976-09-01,6.964311186,7.577650737,7.125381525,8.00298871,,,,3.528452991,6.208154599
1976-10-01,6.745538701,7.483353573,6.910786682,7.946693265,,,,3.380327527,6.300967706
1976-11-01,6.461684574,7.404207257,6.633941823,7.929702314,,,,3.181577828,6.401360878
1976-12-01,6.117029015,7.218662085,6.218614511,7.6619913,,,,3.195979463,6.574823307
1977-01-01,5.956727076,6.63327271,6.062302309,6.978205637,,,,4.076603382,7.239223838
1977-02-01,5.955398413,6.411075779,6.063399587,6.705620227,,,,6.041432489,7.182804671
1977-03-01,6.01515088,6.287437842,6.112229251,6.518439216,,,,6.840733331,6.668291098
1977-04-01,6.502733029,6.495264635,6.591159521,6.643200729,,,,7.422447748,6.150109684
1977-05-01,6.701625192,6.709814092,6.751544987,6.796265694,,,,7.150345935,5.693033538
1977-06-01,6.875745802,6.893933832,6.930956833,6.991825257,,,,7.116706503,5.380097423
1977-07-01,6.842049345,6.761262404,6.892219332,6.826544176,,,,6.878839731,5.049410171
1977-08-01,6.809163955,6.732495775,6.843199666,6.771420964,,,,6.497557594,4.251497337
